,DateRepConf,Conf
0,2021-09-02,15925
1,2021-09-03,36171
2,2021-09-04,56855
3,2021-09-05,76810
4,2021-09-06,99154
5,2021-09-07,117094
6,2021-09-08,134919
7,2021-09-09,157625
8,2021-09-10,175512
9,2021-09-11,201622
10,2021-09-12,222949
11,2021-09-13,243611
12,2021-09-14,261573
13,2021-09-15,278469
14,2021-09-16,299604
15,2021-09-17,319841
16,2021-09-18,342807
17,2021-09-19,361958
18,2021-09-20,380807
19,2021-09-21,397067
20,2021-09-22,412543
21,2021-09-23,429777
22,2021-09-24,448256
23,2021-09-25,458576
24,2021-09-26,479126
25,2021-09-27,497506
26,2021-09-28,511273
27,2021-09-29,523973
28,2021-09-30,538158
29,2021-10-01,553625
30,2021-10-02,568308
31,2021-10-03,581465
32,2021-10-04,592148
33,2021-10-05,601152
34,2021-10-06,610956
35,2021-10-07,620897
36,2021-10-08,631457
37,2021-10-09,642363
38,2021-10-10,654414
39,2021-10-11,662639
40,2021-10-12,671140
41,2021-10-13,678254
42,2021-10-14,686008
43,2021-10-15,693550
44,2021-10-16,701251
45,2021-10-17,708121
46,2021-10-18,714996
47,2021-10-19,719450
48,2021-10-20,723051
49,2021-10-21,727809
50,2021-10-22,733576
51,2021-10-23,739336
52,2021-10-24,744572
53,2021-10-25,748950
54,2021-10-26,753313
55,2021-10-27,756491
56,2021-10-28,763565
57,2021-10-29,767579
58,2021-10-30,771553
59,2021-10-31,774942
60,2021-11-01,778045
61,2021-11-02,780335
62,2021-11-03,781910
63,2021-11-04,783664
64,2021-11-05,786023
65,2021-11-06,788657
66,2021-11-07,791245
67,2021-11-08,793314
68,2021-11-09,794721
69,2021-11-10,797344
70,2021-11-11,799303
71,2021-11-12,801182
72,2021-11-13,803164
73,2021-11-14,805078
74,2021-11-15,806618
75,2021-11-16,807458
76,2021-11-17,808637
77,2021-11-18,809920
78,2021-11-19,811387
79,2021-11-20,812849
80,2021-11-21,815059
81,2021-11-22,816038
82,2021-11-23,817172
83,2021-11-24,818046
84,2021-11-25,819016
85,2021-11-26,819874
86,2021-11-27,820768
87,2021-11-28,821600
88,2021-11-29,822261
89,2021-11-30,822684
90,2021-12-01,823177
91,2021-12-02,823737
92,2021-12-03,824276
93,2021-12-04,824791
94,2021-12-05,825394
95,2021-12-06,825934
96,2021-12-07,826283
97,2021-12-08,826647
98,2021-12-09,827205
99,2021-12-10,827580
100,2021-12-11,827933
101,2021-12-12,828333
102,2021-12-13,828691
103,2021-12-14,828926
104,2021-12-15,829159
105,2021-12-16,829443
106,2021-12-17,830019
107,2021-12-18,830306
108,2021-12-19,830507
109,2021-12-20,830765
110,2021-12-21,830932
111,2021-12-22,831191
112,2021-12-23,831475
113,2021-12-24,831778
114,2021-12-25,832208
115,2021-12-26,832638
116,2021-12-27,832954
117,2021-12-28,833363
118,2021-12-29,834250
119,2021-12-30,835858
120,2021-12-31,838798
121,2022-01-01,842396
122,2022-01-02,846975
123,2022-01-03,851035
124,2022-01-04,856438
125,2022-01-05,867147
126,2022-01-06,884260
127,2022-01-07,905868
128,2022-01-08,932182
129,2022-01-09,960745
130,2022-01-10,993740
131,2022-01-11,999523
