,DateRepConf,Conf
0,2021-04-26,2335
1,2021-04-27,9504
2,2021-04-28,16354
3,2021-04-29,24559
4,2021-04-30,33245
5,2021-05-01,42436
6,2021-05-02,50755
7,2021-05-03,57979
8,2021-05-04,63627
9,2021-05-05,69287
10,2021-05-06,75896
11,2021-05-07,83599
12,2021-05-08,90529
13,2021-05-09,97671
14,2021-05-10,104480
15,2021-05-11,109194
16,2021-05-12,114016
17,2021-05-13,120346
18,2021-05-14,127084
19,2021-05-15,133785
20,2021-05-16,139538
21,2021-05-17,145486
22,2021-05-18,149958
23,2021-05-19,154640
24,2021-05-20,160714
25,2021-05-21,166941
26,2021-05-22,173745
27,2021-05-23,176817
28,2021-05-24,181764
29,2021-05-25,185716
30,2021-05-26,191001
31,2021-05-27,197455
32,2021-05-28,206158
33,2021-05-29,213565
34,2021-05-30,220584
35,2021-05-31,227242
36,2021-06-01,232400
37,2021-06-02,237620
38,2021-06-03,244809
39,2021-06-04,252235
40,2021-06-05,259158
41,2021-06-06,266352
42,2021-06-07,272876
43,2021-06-08,277640
44,2021-06-09,283087
45,2021-06-10,290543
46,2021-06-11,297191
47,2021-06-12,305185
48,2021-06-13,312451
49,2021-06-14,318856
50,2021-06-15,324220
51,2021-06-16,329607
52,2021-06-17,336208
53,2021-06-18,343025
54,2021-06-19,349960
55,2021-06-20,355737
56,2021-06-21,360960
57,2021-06-22,364614
58,2021-06-23,368944
59,2021-06-24,374956
60,2021-06-25,381743
61,2021-06-26,388588
62,2021-06-27,394650
63,2021-06-28,400231
64,2021-06-29,404657
65,2021-06-30,409149
66,2021-07-01,414922
67,2021-07-02,421096
68,2021-07-03,426977
69,2021-07-04,432915
70,2021-07-05,438287
71,2021-07-06,442383
72,2021-07-07,446656
73,2021-07-08,452104
74,2021-07-09,457973
75,2021-07-10,463615
76,2021-07-11,469502
77,2021-07-12,474696
78,2021-07-13,478290
79,2021-07-14,482082
80,2021-07-15,487283
81,2021-07-16,492941
82,2021-07-17,498950
83,2021-07-18,504331
84,2021-07-19,509960
85,2021-07-20,514448
86,2021-07-21,520237
87,2021-07-22,525553
88,2021-07-23,531867
89,2021-07-24,537989
90,2021-07-25,542864
91,2021-07-26,548911
92,2021-07-27,553415
93,2021-07-28,557568
94,2021-07-29,563278
95,2021-07-30,571397
96,2021-07-31,579512
97,2021-08-01,588220
98,2021-08-02,596354
99,2021-08-03,603202
100,2021-08-04,610516
101,2021-08-05,618618
102,2021-08-06,629208
103,2021-08-07,640190
104,2021-08-08,649821
105,2021-08-09,658695
106,2021-08-10,667227
107,2021-08-11,679206
108,2021-08-12,691585
109,2021-08-13,704716
110,2021-08-14,718910
111,2021-08-15,733615
112,2021-08-16,748170
113,2021-08-17,758171
114,2021-08-18,769209
115,2021-08-19,784039
116,2021-08-20,801196
117,2021-08-21,817797
118,2021-08-22,833769
119,2021-08-23,852022
120,2021-08-24,864033
121,2021-08-25,877551
122,2021-08-26,893782
123,2021-08-27,911134
124,2021-08-28,930503
125,2021-08-29,948947
126,2021-08-30,971214
127,2021-08-31,984992
128,2021-09-01,999171
129,2021-09-02,999797
