,DateRepConf,Conf,ConfNew
175,2020-07-23,70144,28743
176,2020-07-24,72129,29315
177,2020-07-25,74079,29998
178,2020-07-26,76097,30608
179,2020-07-27,77665,30987
180,2020-07-28,79210,31413
181,2020-07-29,80909,31959
182,2020-07-30,84617,33172
183,2020-07-31,88509,34328
184,2020-08-01,93244,35399
185,2020-08-02,97688,36514
186,2020-08-03,100782,37369
187,2020-08-04,106563,38625
188,2020-08-05,109760,39272
189,2020-08-06,113166,40227
190,2020-08-07,116454,40894
191,2020-08-08,120555,41901
192,2020-08-09,123551,42713
193,2020-08-10,130316,44387
194,2020-08-11,133161,45205
195,2020-08-12,137365,46164
196,2020-08-13,141232,47344
197,2020-08-14,147205,48692
198,2020-08-15,151389,49829
199,2020-08-16,154685,50788
200,2020-08-17,157915,51572
201,2020-08-18,162678,52738
202,2020-08-19,167188,53911
203,2020-08-20,171397,55280
204,2020-08-21,176050,56684
205,2020-08-22,180889,57879
206,2020-08-23,183207,58557
207,2020-08-24,187804,59794
208,2020-08-25,190712,60536
209,2020-08-26,195883,61820
210,2020-08-27,199055,62678
211,2020-08-28,202960,64042
212,2020-08-29,206527,65067
213,2020-08-30,210718,66402
214,2020-08-31,214119,67432
215,2020-09-01,217541,68483
216,2020-09-02,219709,69303
217,2020-09-03,221588,69970
218,2020-09-04,225254,71057
219,2020-09-05,227740,71968
220,2020-09-06,230523,72941
221,2020-09-07,231875,73419
222,2020-09-08,235132,74373
223,2020-09-09,238261,75452
224,2020-09-10,242031,76685
225,2020-09-11,246045,77942
226,2020-09-12,250930,79528
227,2020-09-13,254263,80613
228,2020-09-14,258927,82134
229,2020-09-15,262434,83355
230,2020-09-16,265945,84502
231,2020-09-17,269268,85593
232,2020-09-18,272457,86647
233,2020-09-19,276200,87852
234,2020-09-20,279284,88860
235,2020-09-21,282135,89859
236,2020-09-22,283729,90478
237,2020-09-23,286493,91345
238,2020-09-24,288624,92203
239,2020-09-25,291180,93182
240,2020-09-26,293850,94315
241,2020-09-27,296768,95326
242,2020-09-28,299783,96572
243,2020-09-29,301736,97274
244,2020-09-30,304092,98144
245,2020-10-01,306449,99100
246,2020-10-02,308988,100069
247,2020-10-03,311588,101092
248,2020-10-04,314707,102179
249,2020-10-05,316910,103130
250,2020-10-06,318957,103996
251,2020-10-07,321723,105036
252,2020-10-08,324053,106063
253,2020-10-09,327000,107326
254,2020-10-10,329221,108421
255,2020-10-11,331689,109485
256,2020-10-12,335228,111060
257,2020-10-13,337207,111930
258,2020-10-14,339097,112763
259,2020-10-15,341344,113836
260,2020-10-16,344456,115380
261,2020-10-17,347068,116491
262,2020-10-18,349421,117555
263,2020-10-19,352035,118721
264,2020-10-20,353658,119489
265,2020-10-21,355146,120203
266,2020-10-22,356793,121021
267,2020-10-23,358700,121887
268,2020-10-24,360747,122747
269,2020-10-25,362952,123675
270,2020-10-26,364544,124343
271,2020-10-27,366051,125062
272,2020-10-28,368086,125991
273,2020-10-29,369830,126747
274,2020-10-30,371801,127583
275,2020-10-31,373589,128283
276,2020-11-01,375967,129272
277,2020-11-02,378255,130260
278,2020-11-03,380019,131019
279,2020-11-04,380995,131520
280,2020-11-05,382572,132364
281,2020-11-06,384645,133281
282,2020-11-07,386777,134131
283,2020-11-08,389201,135134
284,2020-11-09,391247,136048
285,2020-11-10,392587,136667
286,2020-11-11,394251,137488
287,2020-11-12,395652,138137
288,2020-11-13,397534,138980
289,2020-11-14,399178,139762
290,2020-11-15,400701,140418
291,2020-11-16,402426,141311
292,2020-11-17,403567,141827
293,2020-11-18,404944,142475
294,2020-11-19,406265,143060
295,2020-11-20,407886,143760
296,2020-11-21,409661,144461
297,2020-11-22,411614,145254
298,2020-11-23,413403,145995
299,2020-11-24,414514,146525
300,2020-11-25,415704,147079
301,2020-11-26,417086,147742
302,2020-11-27,418702,148426
303,2020-11-28,420582,149297
304,2020-11-29,422646,150189
305,2020-11-30,424410,150945
306,2020-12-01,425702,151526
307,2020-12-02,427131,152233
308,2020-12-03,428180,152735
309,2020-12-04,429108,153198
310,2020-12-05,430831,153900
311,2020-12-06,432582,154704
312,2020-12-07,434149,155430
313,2020-12-08,435541,156082
314,2020-12-09,436917,156698
315,2020-12-10,438285,157369
316,2020-12-11,439782,158027
317,2020-12-12,441076,158652
318,2020-12-13,442117,159079
319,2020-12-14,443429,159646
320,2020-12-15,444552,160116
321,2020-12-16,445700,160634
322,2020-12-17,447161,161270
323,2020-12-18,449268,162135
324,2020-12-19,450741,162739
325,2020-12-20,452481,163459
326,2020-12-21,454193,164221
327,2020-12-22,455493,164831
328,2020-12-23,456683,165337
329,2020-12-24,458446,166228
330,2020-12-25,460315,167043
331,2020-12-26,461715,167566
332,2020-12-27,462585,167940
333,2020-12-28,463348,168260
334,2020-12-29,464227,168618
335,2020-12-30,465229,169042
336,2020-12-31,466759,169577
337,2021-01-01,468518,170370
338,2021-01-02,469609,170867
339,2021-01-03,470500,171213
340,2021-01-04,471455,171630
341,2021-01-05,472391,171974
342,2021-01-06,473431,172403
343,2021-01-07,474773,172895
344,2021-01-08,476543,173561
345,2021-01-09,478469,174347
346,2021-01-10,480354,175135
347,2021-01-11,482399,176057
348,2021-01-12,483918,176740
349,2021-01-13,485366,177404
350,2021-01-14,487270,178258
351,2021-01-15,489311,179107
352,2021-01-16,491359,179936
353,2021-01-17,493244,180754
354,2021-01-18,495399,181738
355,2021-01-19,496746,182327
356,2021-01-20,498407,183100
357,2021-01-21,500170,183933
358,2021-01-22,502329,184854
359,2021-01-23,504117,185667
360,2021-01-24,506059,186643
361,2021-01-25,507633,187336
362,2021-01-26,508804,187878
363,2021-01-27,511038,188935
364,2021-01-28,512197,189426
365,2021-01-29,514036,190260
366,2021-01-30,516132,191174
367,2021-01-31,518224,192056
368,2021-02-01,519879,192830
369,2021-02-02,521458,193674
370,2021-02-03,522723,194334
371,2021-02-04,524307,195203
372,2021-02-05,526190,196055
373,2021-02-06,528125,197046
374,2021-02-07,529905,197975
375,2021-02-08,531587,198841
376,2021-02-09,532817,199404
377,2021-02-10,534150,200165
378,2021-02-11,535872,201011
379,2021-02-12,537890,201948
380,2021-02-13,539835,202953
381,2021-02-14,541753,203948
382,2021-02-15,543431,204813
383,2021-02-16,544818,205470
384,2021-02-17,545990,205983
385,2021-02-18,547722,206635
386,2021-02-19,549614,207263
387,2021-02-20,551838,208262
388,2021-02-21,553717,209061
389,2021-02-22,555997,210027
390,2021-02-23,557404,210568
391,2021-02-24,558955,211229
392,2021-02-25,561210,212170
393,2021-02-26,563850,213266
394,2021-02-27,566758,214355
395,2021-02-28,568865,215169
396,2021-03-01,570894,215933
397,2021-03-02,572950,216755
398,2021-03-03,574723,217446
399,2021-03-04,577159,218391
400,2021-03-05,580186,219570
401,2021-03-06,583613,220945
402,2021-03-07,586864,222295
403,2021-03-08,590206,223612
404,2021-03-09,592858,224596
405,2021-03-10,595729,225714
406,2021-03-11,599456,227029
407,2021-03-12,604014,228433
408,2021-03-13,608983,230166
409,2021-03-14,613847,231949
410,2021-03-15,619219,233779
411,2021-03-16,623618,235416
412,2021-03-17,627971,237017
413,2021-03-18,633222,238762
414,2021-03-19,640273,241039
415,2021-03-20,648226,243712
416,2021-03-21,655909,246299
417,2021-03-22,663877,249272
418,2021-03-23,669693,250881
419,2021-03-24,676304,252802
420,2021-03-25,685023,255120
421,2021-03-26,694781,257578
422,2021-03-27,704277,260023
423,2021-03-28,713692,262415
424,2021-03-29,723621,264833
425,2021-03-30,732831,267229
426,2021-03-31,738901,268629
427,2021-04-01,747772,270700
428,2021-04-02,763022,274196
429,2021-04-03,775545,277139
430,2021-04-04,786532,279548
431,2021-04-05,794847,281407
432,2021-04-06,804174,283444
433,2021-04-07,810557,285062
434,2021-04-08,819717,287582
435,2021-04-09,831879,290581
436,2021-04-10,844506,293376
437,2021-04-11,856112,295556
438,2021-04-12,867427,297302
439,2021-04-13,875951,298919
440,2021-04-14,884039,300346
441,2021-04-15,895403,302783
442,2021-04-16,906044,304812
443,2021-04-17,917095,306962
444,2021-04-18,927137,308642
445,2021-04-19,936723,309848
446,2021-04-20,944057,310978
447,2021-04-21,953225,312455
448,2021-04-22,961951,314100
449,2021-04-23,970603,315531
450,2021-04-24,980215,317251
451,2021-04-25,988314,318644
452,2021-04-26,994854,319950
