,DateRepConf,Conf
265,2022-10-03,944807
266,2022-10-04,946097
267,2022-10-05,947807
268,2022-10-06,950330
269,2022-10-07,952648
270,2022-10-08,954769
271,2022-10-09,956794
272,2022-10-10,958840
273,2022-10-11,960347
274,2022-10-12,961901
275,2022-10-13,964674
276,2022-10-14,967074
277,2022-10-15,969388
278,2022-10-16,971628
279,2022-10-17,973485
280,2022-10-18,974640
281,2022-10-19,975973
282,2022-10-20,978112
283,2022-10-21,980014
284,2022-10-22,981650
285,2022-10-23,983176
286,2022-10-24,984462
287,2022-10-25,985371
288,2022-10-26,986458
289,2022-10-27,987782
290,2022-10-28,989275
291,2022-10-29,990629
292,2022-10-30,991937
293,2022-10-31,992988
294,2022-11-01,993479
