,DateRepConf,Conf,ConfNew
212,2023-06-01,141075,13064
213,2023-06-02,142517,13092
214,2023-06-03,143854,13127
215,2023-06-04,145126,13158
216,2023-06-05,146230,13200
217,2023-06-06,146906,13225
218,2023-06-07,147804,13262
219,2023-06-08,148934,13298
220,2023-06-09,150036,13337
221,2023-06-10,150913,13377
222,2023-06-11,151754,13405
223,2023-06-12,152480,13430
224,2023-06-13,152898,13444
225,2023-06-14,153366,13461
226,2023-06-15,153894,13488
227,2023-06-16,154616,13509
228,2023-06-17,155309,13536
229,2023-06-18,156035,13562
230,2023-06-19,156540,13584
231,2023-06-20,156879,13603
232,2023-06-21,157376,13624
233,2023-06-22,157960,13643
234,2023-06-23,158492,13660
235,2023-06-24,158956,13673
236,2023-06-25,159477,13687
237,2023-06-26,159900,13696
238,2023-06-27,160197,13703
239,2023-06-28,160582,13717
240,2023-06-29,161085,13733
241,2023-06-30,161482,13749
242,2023-07-01,161801,13755
243,2023-07-02,162224,13770
244,2023-07-03,162594,13784
245,2023-07-04,162814,13788
246,2023-07-05,163173,13799
247,2023-07-06,163587,13810
248,2023-07-07,163984,13828
249,2023-07-08,164331,13843
250,2023-07-09,164734,13862
251,2023-07-10,164992,13872
252,2023-07-11,165162,13882
253,2023-07-12,165447,13900
254,2023-07-13,165792,13917
255,2023-07-14,166086,13967
256,2023-07-15,166369,14092
257,2023-07-16,166672,14211
258,2023-07-17,166958,14344
259,2023-07-18,167114,14424
260,2023-07-19,167302,14509
261,2023-07-20,167554,14622
262,2023-07-21,167788,14728
263,2023-07-22,168078,14854
